,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400010,95,2747,J.R. Smith,1610612752,New York Knicks,1,2,35,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,45,200,1,1
1,Shot Chart Detail,0021400010,121,2747,J.R. Smith,1610612752,New York Knicks,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-21,252,1,0
2,Shot Chart Detail,0021400010,127,2747,J.R. Smith,1610612752,New York Knicks,2,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-86,200,1,1
3,Shot Chart Detail,0021400010,133,2747,J.R. Smith,1610612752,New York Knicks,2,10,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-112,165,1,0
4,Shot Chart Detail,0021400010,187,2747,J.R. Smith,1610612752,New York Knicks,2,4,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-86,192,1,0
5,Shot Chart Detail,0021400010,328,2747,J.R. Smith,1610612752,New York Knicks,3,4,22,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,33,1,0
6,Shot Chart Detail,0021400010,460,2747,J.R. Smith,1610612752,New York Knicks,4,5,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-111,36,1,0
7,Shot Chart Detail,0021400010,478,2747,J.R. Smith,1610612752,New York Knicks,4,3,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,149,119,1,0
8,Shot Chart Detail,0021400018,178,2747,J.R. Smith,1610612752,New York Knicks,2,5,42,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,31,1,0
9,Shot Chart Detail,0021400018,194,2747,J.R. Smith,1610612752,New York Knicks,2,4,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,168,268,1,0
10,Shot Chart Detail,0021400018,214,2747,J.R. Smith,1610612752,New York Knicks,2,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,247,1,1
11,Shot Chart Detail,0021400018,368,2747,J.R. Smith,1610612752,New York Knicks,4,11,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,14,1,1
12,Shot Chart Detail,0021400018,384,2747,J.R. Smith,1610612752,New York Knicks,4,10,21,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-166,74,1,0
13,Shot Chart Detail,0021400018,394,2747,J.R. Smith,1610612752,New York Knicks,4,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,168,1,0
14,Shot Chart Detail,0021400018,418,2747,J.R. Smith,1610612752,New York Knicks,4,7,4,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-90,143,1,1
15,Shot Chart Detail,0021400018,469,2747,J.R. Smith,1610612752,New York Knicks,4,4,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,26,175,1,1
16,Shot Chart Detail,0021400018,492,2747,J.R. Smith,1610612752,New York Knicks,4,1,18,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,91,123,1,0
17,Shot Chart Detail,0021400018,497,2747,J.R. Smith,1610612752,New York Knicks,4,0,48,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,66,1,1
18,Shot Chart Detail,0021400041,53,2747,J.R. Smith,1610612752,New York Knicks,1,5,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-67,239,1,1
19,Shot Chart Detail,0021400041,75,2747,J.R. Smith,1610612752,New York Knicks,1,3,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-71,165,1,1
20,Shot Chart Detail,0021400041,82,2747,J.R. Smith,1610612752,New York Knicks,1,2,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,129,213,1,0
21,Shot Chart Detail,0021400041,133,2747,J.R. Smith,1610612752,New York Knicks,2,11,34,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-32,56,1,1
22,Shot Chart Detail,0021400041,178,2747,J.R. Smith,1610612752,New York Knicks,2,6,29,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,63,1,0
23,Shot Chart Detail,0021400041,253,2747,J.R. Smith,1610612752,New York Knicks,2,0,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,39,1,0
24,Shot Chart Detail,0021400041,406,2747,J.R. Smith,1610612752,New York Knicks,4,9,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,12,1,0
25,Shot Chart Detail,0021400051,70,2747,J.R. Smith,1610612752,New York Knicks,1,3,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,94,173,1,1
26,Shot Chart Detail,0021400051,81,2747,J.R. Smith,1610612752,New York Knicks,1,2,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,67,246,1,0
