,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400110,130,203488,Mike Muscala,1610612737,Atlanta Hawks,2,10,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-67,156,1,0
1,Shot Chart Detail,0021400110,135,203488,Mike Muscala,1610612737,Atlanta Hawks,2,10,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,10,82,1,0
2,Shot Chart Detail,0021400110,414,203488,Mike Muscala,1610612737,Atlanta Hawks,4,7,17,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,12,1,1
3,Shot Chart Detail,0021400133,179,203488,Mike Muscala,1610612737,Atlanta Hawks,2,5,15,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-2,74,1,0
4,Shot Chart Detail,0021400133,201,203488,Mike Muscala,1610612737,Atlanta Hawks,2,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-207,-8,1,1
5,Shot Chart Detail,0021400133,205,203488,Mike Muscala,1610612737,Atlanta Hawks,2,2,55,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-8,1,0
6,Shot Chart Detail,0021400133,226,203488,Mike Muscala,1610612737,Atlanta Hawks,2,1,20,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-3,1,0
7,Shot Chart Detail,0021400133,384,203488,Mike Muscala,1610612737,Atlanta Hawks,3,0,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1
8,Shot Chart Detail,0021400133,402,203488,Mike Muscala,1610612737,Atlanta Hawks,4,11,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-105,160,1,1
9,Shot Chart Detail,0021400133,492,203488,Mike Muscala,1610612737,Atlanta Hawks,4,2,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1
10,Shot Chart Detail,0021400133,527,203488,Mike Muscala,1610612737,Atlanta Hawks,4,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,213,1,1
11,Shot Chart Detail,0021400237,384,203488,Mike Muscala,1610612737,Atlanta Hawks,4,10,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
12,Shot Chart Detail,0021400237,389,203488,Mike Muscala,1610612737,Atlanta Hawks,4,10,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-217,12,1,0
13,Shot Chart Detail,0021400237,432,203488,Mike Muscala,1610612737,Atlanta Hawks,4,6,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,113,216,1,0
