,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400045,132,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,10,1,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,59,126,1,0
1,Shot Chart Detail,0021400045,136,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,9,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,-3,1,0
2,Shot Chart Detail,0021400045,161,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-119,231,1,0
3,Shot Chart Detail,0021400045,370,202337,Luke Babbitt,1610612740,New Orleans Pelicans,3,3,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,4,1,0
4,Shot Chart Detail,0021400114,85,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,3,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,51,74,1,0
5,Shot Chart Detail,0021400114,384,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,8,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-221,131,1,1
6,Shot Chart Detail,0021400128,95,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,3,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-166,175,1,1
7,Shot Chart Detail,0021400128,126,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,0,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,0,1,1
8,Shot Chart Detail,0021400128,428,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,11,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,153,1,1
9,Shot Chart Detail,0021400128,463,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,7,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-142,241,1,1
10,Shot Chart Detail,0021400158,131,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,254,1,1
11,Shot Chart Detail,0021400158,170,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,6,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,69,127,1,0
12,Shot Chart Detail,0021400158,206,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,3,1,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,61,47,1,1
13,Shot Chart Detail,0021400181,88,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,2,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,173,69,1,0
14,Shot Chart Detail,0021400181,541,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,0,2,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,0
15,Shot Chart Detail,0021400208,92,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,1,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,140,214,1,0
16,Shot Chart Detail,0021400208,137,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,10,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,34,1,0
17,Shot Chart Detail,0021400236,140,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,10,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-114,89,1,0
18,Shot Chart Detail,0021400236,152,202337,Luke Babbitt,1610612740,New Orleans Pelicans,2,8,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,159,219,1,0
19,Shot Chart Detail,0021400236,421,202337,Luke Babbitt,1610612740,New Orleans Pelicans,4,6,16,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,0,1,1
20,Shot Chart Detail,0021400258,27,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,9,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,44,1,0
21,Shot Chart Detail,0021400258,49,202337,Luke Babbitt,1610612740,New Orleans Pelicans,1,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-81,265,1,0
