url,player_number,weight,years_in_league,player_id,position,age,height
http://stats.nba.com/player/#!/,13,220,6,201935,G,26,77
http://stats.nba.com/player/#!/,1,220,6,201936,G-F,26,78
http://stats.nba.com/player/#!/,9,194,4,201937,G,25,76
http://stats.nba.com/player/#!/,30,190,6,201939,G,28,75
http://stats.nba.com/player/#!/,27,235,6,201941,C,28,82
http://stats.nba.com/player/#!/,10,220,6,201942,G,26,79
http://stats.nba.com/player/#!/,55,169,6,201943,G,26,73
http://stats.nba.com/player/#!/,9,215,6,201945,G,28,77
http://stats.nba.com/player/#!/,50,250,6,201946,F,30,81
http://stats.nba.com/player/#!/,3,250,6,201949,F,29,81
http://stats.nba.com/player/#!/,11,205,6,201950,G,25,76
http://stats.nba.com/player/#!/,10,195,6,201951,G,28,71
http://stats.nba.com/player/#!/,0,186,6,201952,G,27,74
http://stats.nba.com/player/#!/,7,175,6,201954,G,28,72
http://stats.nba.com/player/#!/,18,225,6,201956,F,27,81
http://stats.nba.com/player/#!/,22,225,6,201959,F,30,81
http://stats.nba.com/player/#!/,5,212,6,201960,F,29,80
http://stats.nba.com/player/#!/,21,200,6,201961,G,28,76
http://stats.nba.com/player/#!/,16,195,6,201962,G,30,74
http://stats.nba.com/player/#!/,19,250,5,201965,F-C,29,81
http://stats.nba.com/player/#!/,44,230,6,201967,F,29,80
http://stats.nba.com/player/#!/,,,6,201971,,27,
http://stats.nba.com/player/#!/,8,231,5,201973,F,29,82
http://stats.nba.com/player/#!/,20,210,6,201975,G,28,76
http://stats.nba.com/player/#!/,2,185,3,201976,G,27,73
http://stats.nba.com/player/#!/,15,205,6,201977,F-G,28,76
http://stats.nba.com/player/#!/,10,209,6,201978,F,27,79
http://stats.nba.com/player/#!/,14,215,6,201980,G-F,28,78
http://stats.nba.com/player/#!/,8,185,6,201988,G,27,72
http://stats.nba.com/player/#!/,17,195,5,202066,G,29,78
http://stats.nba.com/player/#!/,23,220,6,202083,G-F,29,77
http://stats.nba.com/player/#!/,15,225,6,202087,F,28,78
http://stats.nba.com/player/#!/,2,195,5,202322,G,25,76
http://stats.nba.com/player/#!/,11,220,5,202323,G-F,27,79
http://stats.nba.com/player/#!/,15,265,5,202324,F-C,24,82
http://stats.nba.com/player/#!/,33,215,5,202325,F-G,28,79
http://stats.nba.com/player/#!/,15,270,5,202326,C-F,25,83
http://stats.nba.com/player/#!/,15,265,5,202328,C-F,25,83
http://stats.nba.com/player/#!/,8,215,5,202329,F,25,81
http://stats.nba.com/player/#!/,20,226,5,202330,F,26,80
http://stats.nba.com/player/#!/,13,220,5,202331,F,26,81
http://stats.nba.com/player/#!/,45,250,5,202332,C,27,83
http://stats.nba.com/player/#!/,17,240,5,202334,F-C,26,82
http://stats.nba.com/player/#!/,54,235,5,202335,F,27,81
http://stats.nba.com/player/#!/,8,225,5,202337,F,26,81
http://stats.nba.com/player/#!/,1,278,5,202338,F-C,26,82
http://stats.nba.com/player/#!/,2,190,5,202339,G,26,73
http://stats.nba.com/player/#!/,0,180,5,202340,G,25,74
http://stats.nba.com/player/#!/,,,5,202343,,26,
http://stats.nba.com/player/#!/,33,228,5,202344,F,28,80
http://stats.nba.com/player/#!/,20,220,5,202347,F-G,28,79
http://stats.nba.com/player/#!/,21,217,5,202349,G,29,78
http://stats.nba.com/player/#!/,21,265,3,202355,C,26,84
http://stats.nba.com/player/#!/,1,230,5,202362,F-G,25,77
http://stats.nba.com/player/#!/,21,200,5,202379,F,28,81
http://stats.nba.com/player/#!/,15,205,4,202388,G,28,75
http://stats.nba.com/player/#!/,20,275,5,202389,C,29,85
http://stats.nba.com/player/#!/,,,5,202390,,31,
http://stats.nba.com/player/#!/,7,200,5,202391,G,27,75
http://stats.nba.com/player/#!/,1,175,5,202397,G,27,72
http://stats.nba.com/player/#!/,,,1,202407,,28,
http://stats.nba.com/player/#!/,42,235,4,202498,F,28,80
http://stats.nba.com/player/#!/,2,193,4,202681,G,24,75
http://stats.nba.com/player/#!/,23,240,4,202682,F,24,80
http://stats.nba.com/player/#!/,11,245,4,202683,C,23,83
http://stats.nba.com/player/#!/,13,238,4,202684,C-F,25,81
http://stats.nba.com/player/#!/,17,255,3,202685,C,24,84
http://stats.nba.com/player/#!/,8,245,4,202687,C-F,23,81
