,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400007,89,202322,John Wall,1610612764,Washington Wizards,1,2,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,6,1,1
1,Shot Chart Detail,0021400007,94,202322,John Wall,1610612764,Washington Wizards,1,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,3,1,1
2,Shot Chart Detail,0021400007,186,202322,John Wall,1610612764,Washington Wizards,2,4,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,17,1,1
3,Shot Chart Detail,0021400007,221,202322,John Wall,1610612764,Washington Wizards,2,2,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,9,1,0
4,Shot Chart Detail,0021400007,268,202322,John Wall,1610612764,Washington Wizards,3,8,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,138,145,1,0
5,Shot Chart Detail,0021400007,283,202322,John Wall,1610612764,Washington Wizards,3,7,5,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,2,107,1,1
6,Shot Chart Detail,0021400007,285,202322,John Wall,1610612764,Washington Wizards,3,6,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1
7,Shot Chart Detail,0021400007,296,202322,John Wall,1610612764,Washington Wizards,3,5,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-201,148,1,0
8,Shot Chart Detail,0021400007,334,202322,John Wall,1610612764,Washington Wizards,3,0,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,135,123,1,0
9,Shot Chart Detail,0021400007,390,202322,John Wall,1610612764,Washington Wizards,4,8,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,0
10,Shot Chart Detail,0021400007,411,202322,John Wall,1610612764,Washington Wizards,4,6,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,116,140,1,1
