,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400006,116,101187,Alan Anderson,1610612751,Brooklyn Nets,1,1,31,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1
1,Shot Chart Detail,0021400006,131,101187,Alan Anderson,1610612751,Brooklyn Nets,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,40,102,388,1,0
2,Shot Chart Detail,0021400006,426,101187,Alan Anderson,1610612751,Brooklyn Nets,4,9,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,6,1,0
3,Shot Chart Detail,0021400006,532,101187,Alan Anderson,1610612751,Brooklyn Nets,4,2,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-175,162,1,0
4,Shot Chart Detail,0021400033,231,101187,Alan Anderson,1610612751,Brooklyn Nets,2,2,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,217,1,1
5,Shot Chart Detail,0021400033,382,101187,Alan Anderson,1610612751,Brooklyn Nets,4,11,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-123,55,1,0
6,Shot Chart Detail,0021400044,135,101187,Alan Anderson,1610612751,Brooklyn Nets,2,11,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,30,1,1
7,Shot Chart Detail,0021400044,167,101187,Alan Anderson,1610612751,Brooklyn Nets,2,8,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,178,1,1
8,Shot Chart Detail,0021400044,170,101187,Alan Anderson,1610612751,Brooklyn Nets,2,8,1,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-3,1,1
9,Shot Chart Detail,0021400044,378,101187,Alan Anderson,1610612751,Brooklyn Nets,4,10,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-21,1,1
10,Shot Chart Detail,0021400044,406,101187,Alan Anderson,1610612751,Brooklyn Nets,4,8,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,159,126,1,1
11,Shot Chart Detail,0021400044,425,101187,Alan Anderson,1610612751,Brooklyn Nets,4,6,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1
12,Shot Chart Detail,0021400044,436,101187,Alan Anderson,1610612751,Brooklyn Nets,4,5,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-37,148,1,0
13,Shot Chart Detail,0021400044,439,101187,Alan Anderson,1610612751,Brooklyn Nets,4,5,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,131,1,1
14,Shot Chart Detail,0021400060,149,101187,Alan Anderson,1610612751,Brooklyn Nets,2,8,55,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,0,132,1,1
15,Shot Chart Detail,0021400075,123,101187,Alan Anderson,1610612751,Brooklyn Nets,2,11,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-97,179,1,0
16,Shot Chart Detail,0021400075,393,101187,Alan Anderson,1610612751,Brooklyn Nets,3,1,39,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,6,1,1
17,Shot Chart Detail,0021400075,438,101187,Alan Anderson,1610612751,Brooklyn Nets,4,8,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-25,1,1
18,Shot Chart Detail,0021400075,444,101187,Alan Anderson,1610612751,Brooklyn Nets,4,7,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,-24,1,1
19,Shot Chart Detail,0021400075,446,101187,Alan Anderson,1610612751,Brooklyn Nets,4,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-26,266,1,0
20,Shot Chart Detail,0021400075,450,101187,Alan Anderson,1610612751,Brooklyn Nets,4,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,137,1,0
21,Shot Chart Detail,0021400075,484,101187,Alan Anderson,1610612751,Brooklyn Nets,4,3,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-207,47,1,0
22,Shot Chart Detail,0021400090,153,101187,Alan Anderson,1610612751,Brooklyn Nets,2,8,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,4,1,0
23,Shot Chart Detail,0021400090,183,101187,Alan Anderson,1610612751,Brooklyn Nets,2,6,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-84,77,1,1
