,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400011,440,202087,Alonzo Gee,1610612743,Denver Nuggets,4,8,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,44,1,1
1,Shot Chart Detail,0021400011,538,202087,Alonzo Gee,1610612743,Denver Nuggets,4,1,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,-3,1,0
2,Shot Chart Detail,0021400036,208,202087,Alonzo Gee,1610612743,Denver Nuggets,2,6,30,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-41,33,1,0
3,Shot Chart Detail,0021400036,219,202087,Alonzo Gee,1610612743,Denver Nuggets,2,5,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-26,244,1,0
4,Shot Chart Detail,0021400036,407,202087,Alonzo Gee,1610612743,Denver Nuggets,4,11,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,12,1,1
5,Shot Chart Detail,0021400047,304,202087,Alonzo Gee,1610612743,Denver Nuggets,2,1,22,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,9,1,0
6,Shot Chart Detail,0021400047,306,202087,Alonzo Gee,1610612743,Denver Nuggets,2,1,16,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
7,Shot Chart Detail,0021400067,451,202087,Alonzo Gee,1610612743,Denver Nuggets,3,1,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-138,72,1,0
8,Shot Chart Detail,0021400067,454,202087,Alonzo Gee,1610612743,Denver Nuggets,3,0,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,14,1,0
9,Shot Chart Detail,0021400067,476,202087,Alonzo Gee,1610612743,Denver Nuggets,4,10,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,22,1,0
10,Shot Chart Detail,0021400067,478,202087,Alonzo Gee,1610612743,Denver Nuggets,4,10,22,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
11,Shot Chart Detail,0021400067,486,202087,Alonzo Gee,1610612743,Denver Nuggets,4,9,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1
12,Shot Chart Detail,0021400067,511,202087,Alonzo Gee,1610612743,Denver Nuggets,4,7,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-8,30,1,0
13,Shot Chart Detail,0021400067,617,202087,Alonzo Gee,1610612743,Denver Nuggets,4,0,11,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
14,Shot Chart Detail,0021400081,202,202087,Alonzo Gee,1610612743,Denver Nuggets,2,7,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,44,1,0
15,Shot Chart Detail,0021400081,430,202087,Alonzo Gee,1610612743,Denver Nuggets,4,10,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1
16,Shot Chart Detail,0021400081,501,202087,Alonzo Gee,1610612743,Denver Nuggets,4,2,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,0
