,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400004,90,201945,Gerald Henderson,1610612766,Charlotte Hornets,1,3,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,39,179,1,0
1,Shot Chart Detail,0021400004,94,201945,Gerald Henderson,1610612766,Charlotte Hornets,1,2,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,13,104,1,0
2,Shot Chart Detail,0021400028,88,201945,Gerald Henderson,1610612766,Charlotte Hornets,1,3,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,19,1,1
3,Shot Chart Detail,0021400028,129,201945,Gerald Henderson,1610612766,Charlotte Hornets,2,11,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-38,164,1,0
4,Shot Chart Detail,0021400028,344,201945,Gerald Henderson,1610612766,Charlotte Hornets,3,4,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,39,1,1
5,Shot Chart Detail,0021400028,356,201945,Gerald Henderson,1610612766,Charlotte Hornets,3,2,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1
6,Shot Chart Detail,0021400028,376,201945,Gerald Henderson,1610612766,Charlotte Hornets,3,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,135,143,1,0
7,Shot Chart Detail,0021400028,395,201945,Gerald Henderson,1610612766,Charlotte Hornets,4,11,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-168,107,1,0
8,Shot Chart Detail,0021400028,421,201945,Gerald Henderson,1610612766,Charlotte Hornets,4,8,7,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,14,1,1
9,Shot Chart Detail,0021400041,100,201945,Gerald Henderson,1610612766,Charlotte Hornets,1,2,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-57,197,1,0
10,Shot Chart Detail,0021400041,123,201945,Gerald Henderson,1610612766,Charlotte Hornets,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,159,1,0
11,Shot Chart Detail,0021400041,163,201945,Gerald Henderson,1610612766,Charlotte Hornets,2,8,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,19,1,0
12,Shot Chart Detail,0021400041,176,201945,Gerald Henderson,1610612766,Charlotte Hornets,2,6,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,17,1,0
13,Shot Chart Detail,0021400041,184,201945,Gerald Henderson,1610612766,Charlotte Hornets,2,6,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,15,1,0
14,Shot Chart Detail,0021400054,187,201945,Gerald Henderson,1610612766,Charlotte Hornets,2,6,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,1
15,Shot Chart Detail,0021400054,270,201945,Gerald Henderson,1610612766,Charlotte Hornets,3,10,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,201,26,1,0
16,Shot Chart Detail,0021400054,425,201945,Gerald Henderson,1610612766,Charlotte Hornets,4,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-218,129,1,0
17,Shot Chart Detail,0021400054,460,201945,Gerald Henderson,1610612766,Charlotte Hornets,4,1,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,28,216,1,1
