,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400008,92,203118,Mike Scott,1610612737,Atlanta Hawks,1,3,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-108,222,1,1
1,Shot Chart Detail,0021400008,103,203118,Mike Scott,1610612737,Atlanta Hawks,1,2,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,4,1,1
2,Shot Chart Detail,0021400008,141,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,121,15,1,1
3,Shot Chart Detail,0021400008,144,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,23,238,1,1
4,Shot Chart Detail,0021400008,151,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-81,66,1,0
5,Shot Chart Detail,0021400008,183,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,0,1,0
6,Shot Chart Detail,0021400008,392,203118,Mike Scott,1610612737,Atlanta Hawks,3,1,18,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,7,1,1
7,Shot Chart Detail,0021400008,473,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,56,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,108,23,1,1
8,Shot Chart Detail,0021400008,485,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,127,1,0
9,Shot Chart Detail,0021400008,514,203118,Mike Scott,1610612737,Atlanta Hawks,4,2,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,31,241,1,1
10,Shot Chart Detail,0021400008,536,203118,Mike Scott,1610612737,Atlanta Hawks,4,1,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-111,217,1,1
11,Shot Chart Detail,0021400032,146,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,206,1,1
12,Shot Chart Detail,0021400064,95,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-142,-13,1,1
13,Shot Chart Detail,0021400064,164,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,143,197,1,0
14,Shot Chart Detail,0021400064,167,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,4,1,1
15,Shot Chart Detail,0021400064,387,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,101,1,1
16,Shot Chart Detail,0021400064,406,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-51,143,1,1
17,Shot Chart Detail,0021400064,443,203118,Mike Scott,1610612737,Atlanta Hawks,4,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,70,252,1,1
18,Shot Chart Detail,0021400064,446,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,216,1,0
19,Shot Chart Detail,0021400071,92,203118,Mike Scott,1610612737,Atlanta Hawks,1,2,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,64,254,1,0
20,Shot Chart Detail,0021400071,146,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-139,217,1,0
21,Shot Chart Detail,0021400071,156,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,56,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,39,88,1,0
22,Shot Chart Detail,0021400071,384,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,25,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,11,1,1
23,Shot Chart Detail,0021400071,405,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-54,260,1,0
24,Shot Chart Detail,0021400071,433,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-43,258,1,0
25,Shot Chart Detail,0021400071,637,203118,Mike Scott,1610612737,Atlanta Hawks,5,0,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,31,1,0
26,Shot Chart Detail,0021400071,642,203118,Mike Scott,1610612737,Atlanta Hawks,5,0,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,15,1,1
27,Shot Chart Detail,0021400084,102,203118,Mike Scott,1610612737,Atlanta Hawks,1,3,42,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,7,1,0
28,Shot Chart Detail,0021400084,116,203118,Mike Scott,1610612737,Atlanta Hawks,1,3,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-139,7,1,0
29,Shot Chart Detail,0021400084,125,203118,Mike Scott,1610612737,Atlanta Hawks,1,2,15,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,184,71,1,1
30,Shot Chart Detail,0021400084,131,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-76,175,1,1
31,Shot Chart Detail,0021400084,133,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,73,242,1,0
32,Shot Chart Detail,0021400084,151,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-82,244,1,1
33,Shot Chart Detail,0021400084,464,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,54,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,24,69,1,0
34,Shot Chart Detail,0021400100,135,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-119,162,1,0
35,Shot Chart Detail,0021400100,147,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,6,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,33,1,0
36,Shot Chart Detail,0021400100,342,203118,Mike Scott,1610612737,Atlanta Hawks,3,1,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-43,101,1,0
37,Shot Chart Detail,0021400100,349,203118,Mike Scott,1610612737,Atlanta Hawks,3,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,168,74,1,0
38,Shot Chart Detail,0021400100,373,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,135,214,1,1
39,Shot Chart Detail,0021400100,376,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,203,1,0
40,Shot Chart Detail,0021400100,391,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-79,230,1,1
41,Shot Chart Detail,0021400124,147,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,44,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,69,66,1,1
42,Shot Chart Detail,0021400124,172,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,37,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0
43,Shot Chart Detail,0021400124,186,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-52,246,1,0
44,Shot Chart Detail,0021400124,370,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,114,225,1,0
45,Shot Chart Detail,0021400124,378,203118,Mike Scott,1610612737,Atlanta Hawks,4,11,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1
46,Shot Chart Detail,0021400124,395,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-34,113,1,1
47,Shot Chart Detail,0021400124,402,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,37,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-149,118,1,1
48,Shot Chart Detail,0021400124,405,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,239,1,0
49,Shot Chart Detail,0021400133,112,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,25,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,26,1,0
50,Shot Chart Detail,0021400133,120,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,20,1,0
51,Shot Chart Detail,0021400133,140,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,34,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-78,36,1,0
52,Shot Chart Detail,0021400133,362,203118,Mike Scott,1610612737,Atlanta Hawks,3,1,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-89,242,1,0
53,Shot Chart Detail,0021400133,397,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,132,-5,1,1
54,Shot Chart Detail,0021400133,428,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,88,63,1,0
55,Shot Chart Detail,0021400133,442,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,10,250,1,0
56,Shot Chart Detail,0021400133,445,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,17,160,1,1
57,Shot Chart Detail,0021400155,78,203118,Mike Scott,1610612737,Atlanta Hawks,1,3,43,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-62,64,1,0
58,Shot Chart Detail,0021400155,115,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-75,242,1,0
59,Shot Chart Detail,0021400155,153,203118,Mike Scott,1610612737,Atlanta Hawks,2,11,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,53,238,1,1
60,Shot Chart Detail,0021400155,159,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,9,1,0
61,Shot Chart Detail,0021400155,162,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1
62,Shot Chart Detail,0021400155,170,203118,Mike Scott,1610612737,Atlanta Hawks,2,8,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,138,85,1,1
63,Shot Chart Detail,0021400155,184,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,19,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,0
64,Shot Chart Detail,0021400155,370,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-193,17,1,0
65,Shot Chart Detail,0021400155,378,203118,Mike Scott,1610612737,Atlanta Hawks,4,11,13,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,157,1,0
66,Shot Chart Detail,0021400155,383,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,208,1,0
67,Shot Chart Detail,0021400155,387,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,6,96,1,0
68,Shot Chart Detail,0021400174,138,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,48,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,63,1,0
69,Shot Chart Detail,0021400174,142,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,20,1,1
70,Shot Chart Detail,0021400174,154,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,1,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,11,1,1
71,Shot Chart Detail,0021400174,394,203118,Mike Scott,1610612737,Atlanta Hawks,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1,260,1,0
72,Shot Chart Detail,0021400205,132,203118,Mike Scott,1610612737,Atlanta Hawks,1,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,218,160,1,0
73,Shot Chart Detail,0021400205,158,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,260,1,0
74,Shot Chart Detail,0021400205,166,203118,Mike Scott,1610612737,Atlanta Hawks,2,7,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,-2,1,1
75,Shot Chart Detail,0021400205,381,203118,Mike Scott,1610612737,Atlanta Hawks,3,1,0,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-27,37,1,1
76,Shot Chart Detail,0021400205,433,203118,Mike Scott,1610612737,Atlanta Hawks,4,8,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,29,1,1
77,Shot Chart Detail,0021400205,441,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,36,1,1
78,Shot Chart Detail,0021400205,443,203118,Mike Scott,1610612737,Atlanta Hawks,4,7,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,110,252,1,0
79,Shot Chart Detail,0021400205,448,203118,Mike Scott,1610612737,Atlanta Hawks,4,6,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,176,41,1,0
80,Shot Chart Detail,0021400205,470,203118,Mike Scott,1610612737,Atlanta Hawks,4,5,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,27,1,1
81,Shot Chart Detail,0021400205,527,203118,Mike Scott,1610612737,Atlanta Hawks,4,1,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,17,1,0
82,Shot Chart Detail,0021400215,44,203118,Mike Scott,1610612737,Atlanta Hawks,1,4,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,3,1,0
83,Shot Chart Detail,0021400215,47,203118,Mike Scott,1610612737,Atlanta Hawks,1,4,44,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-2,1,0
84,Shot Chart Detail,0021400215,95,203118,Mike Scott,1610612737,Atlanta Hawks,1,0,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,127,28,1,1
85,Shot Chart Detail,0021400215,122,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,6,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,147,55,1,1
86,Shot Chart Detail,0021400215,427,203118,Mike Scott,1610612737,Atlanta Hawks,4,9,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-59,241,1,0
87,Shot Chart Detail,0021400225,81,203118,Mike Scott,1610612737,Atlanta Hawks,1,2,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-56,116,1,0
88,Shot Chart Detail,0021400225,86,203118,Mike Scott,1610612737,Atlanta Hawks,1,1,28,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,0
89,Shot Chart Detail,0021400225,96,203118,Mike Scott,1610612737,Atlanta Hawks,1,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,164,1,0
90,Shot Chart Detail,0021400237,133,203118,Mike Scott,1610612737,Atlanta Hawks,2,10,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,48,1,1
91,Shot Chart Detail,0021400237,141,203118,Mike Scott,1610612737,Atlanta Hawks,2,9,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,41,1,1
92,Shot Chart Detail,0021400237,179,203118,Mike Scott,1610612737,Atlanta Hawks,2,6,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,45,1,0
93,Shot Chart Detail,0021400237,360,203118,Mike Scott,1610612737,Atlanta Hawks,3,0,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-116,222,1,0
