,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400042,131,203115,Will Barton,1610612757,Portland Trail Blazers,1,0,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,6,1,1
1,Shot Chart Detail,0021400042,140,203115,Will Barton,1610612757,Portland Trail Blazers,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,59,165,574,1,0
2,Shot Chart Detail,0021400042,173,203115,Will Barton,1610612757,Portland Trail Blazers,2,8,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,43,200,1,0
3,Shot Chart Detail,0021400042,387,203115,Will Barton,1610612757,Portland Trail Blazers,3,1,11,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,162,149,1,1
4,Shot Chart Detail,0021400042,432,203115,Will Barton,1610612757,Portland Trail Blazers,4,7,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,0
5,Shot Chart Detail,0021400055,95,203115,Will Barton,1610612757,Portland Trail Blazers,1,1,52,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,3,1,0
6,Shot Chart Detail,0021400055,161,203115,Will Barton,1610612757,Portland Trail Blazers,2,7,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-2,1,1
7,Shot Chart Detail,0021400055,163,203115,Will Barton,1610612757,Portland Trail Blazers,2,7,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,83,7,1,0
8,Shot Chart Detail,0021400055,367,203115,Will Barton,1610612757,Portland Trail Blazers,4,11,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-138,160,1,0
9,Shot Chart Detail,0021400055,380,203115,Will Barton,1610612757,Portland Trail Blazers,4,10,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,0
10,Shot Chart Detail,0021400070,123,203115,Will Barton,1610612757,Portland Trail Blazers,2,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,242,1,0
11,Shot Chart Detail,0021400070,449,203115,Will Barton,1610612757,Portland Trail Blazers,4,5,38,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,50,1,0
12,Shot Chart Detail,0021400070,484,203115,Will Barton,1610612757,Portland Trail Blazers,4,1,22,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,33,1,0
13,Shot Chart Detail,0021400082,133,203115,Will Barton,1610612757,Portland Trail Blazers,1,0,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,53,1,0
14,Shot Chart Detail,0021400082,147,203115,Will Barton,1610612757,Portland Trail Blazers,2,11,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,0
15,Shot Chart Detail,0021400082,154,203115,Will Barton,1610612757,Portland Trail Blazers,2,10,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,12,1,0
16,Shot Chart Detail,0021400096,144,203115,Will Barton,1610612757,Portland Trail Blazers,2,11,12,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,58,12,1,0
17,Shot Chart Detail,0021400096,164,203115,Will Barton,1610612757,Portland Trail Blazers,2,9,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,140,168,1,0
18,Shot Chart Detail,0021400096,561,203115,Will Barton,1610612757,Portland Trail Blazers,4,0,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,257,1,1
