,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400040,399,101236,Charles Hayes,1610612761,Toronto Raptors,3,0,54,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,26,1,0
1,Shot Chart Detail,0021400040,416,101236,Charles Hayes,1610612761,Toronto Raptors,4,11,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,3,1,0
2,Shot Chart Detail,0021400040,422,101236,Charles Hayes,1610612761,Toronto Raptors,4,10,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,47,78,1,0
3,Shot Chart Detail,0021400052,80,101236,Charles Hayes,1610612761,Toronto Raptors,1,4,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,4,1,0
4,Shot Chart Detail,0021400052,417,101236,Charles Hayes,1610612761,Toronto Raptors,3,1,47,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,0
5,Shot Chart Detail,0021400059,445,101236,Charles Hayes,1610612761,Toronto Raptors,4,7,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1
6,Shot Chart Detail,0021400093,488,101236,Charles Hayes,1610612761,Toronto Raptors,4,5,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,34,1,0
7,Shot Chart Detail,0021400093,521,101236,Charles Hayes,1610612761,Toronto Raptors,4,3,11,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,25,1,0
8,Shot Chart Detail,0021400093,551,101236,Charles Hayes,1610612761,Toronto Raptors,4,1,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,0
9,Shot Chart Detail,0021400175,156,101236,Charles Hayes,1610612761,Toronto Raptors,2,11,18,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-54,58,1,1
10,Shot Chart Detail,0021400186,199,101236,Charles Hayes,1610612761,Toronto Raptors,2,9,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1
11,Shot Chart Detail,0021400201,154,101236,Charles Hayes,1610612761,Toronto Raptors,2,9,29,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-15,107,1,1
12,Shot Chart Detail,0021400201,419,101236,Charles Hayes,1610612761,Toronto Raptors,4,11,9,Made Shot,Running Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,1
13,Shot Chart Detail,0021400201,425,101236,Charles Hayes,1610612761,Toronto Raptors,4,10,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,0,1,0
14,Shot Chart Detail,0021400215,119,101236,Charles Hayes,1610612761,Toronto Raptors,2,10,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,1,1,0
