,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400009,8,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,1,10,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,17,1,0
1,Shot Chart Detail,0021400009,30,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,1,9,17,Missed Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,53,39,1,0
2,Shot Chart Detail,0021400009,37,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,1,7,24,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,42,61,1,0
3,Shot Chart Detail,0021400009,202,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,2,5,34,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,14,1,1
4,Shot Chart Detail,0021400009,213,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,2,4,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,19,1,0
5,Shot Chart Detail,0021400009,253,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,2,1,28,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-8,1,0
6,Shot Chart Detail,0021400009,264,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,2,0,52,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,17,1,0
7,Shot Chart Detail,0021400009,322,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,3,7,6,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,36,1,0
8,Shot Chart Detail,0021400009,456,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,4,5,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1
9,Shot Chart Detail,0021400017,3,201593,Nikola Pekovic,1610612750,Minnesota Timberwolves,1,11,32,Missed Shot,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,-3,1,0
