,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
0,Shot Chart Detail,0021400133,433,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,8,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
1,Shot Chart Detail,0021400133,465,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,5,56,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0
2,Shot Chart Detail,0021400133,515,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,2,9,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,0
3,Shot Chart Detail,0021400199,447,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,7,54,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,60,1,1
4,Shot Chart Detail,0021400199,511,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,1,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-35,67,1,1
5,Shot Chart Detail,0021400211,558,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,0,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,58,1,0
6,Shot Chart Detail,0021400238,114,200811,Lou Amundson,1610612739,Cleveland Cavaliers,1,2,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,20,1,0
7,Shot Chart Detail,0021400238,119,200811,Lou Amundson,1610612739,Cleveland Cavaliers,1,1,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,34,1,0
8,Shot Chart Detail,0021400238,538,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,3,51,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1
9,Shot Chart Detail,0021400479,68,200811,Lou Amundson,1610612739,Cleveland Cavaliers,1,4,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,0
10,Shot Chart Detail,0021400479,160,200811,Lou Amundson,1610612739,Cleveland Cavaliers,2,8,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,39,1,0
11,Shot Chart Detail,0021400503,462,200811,Lou Amundson,1610612739,Cleveland Cavaliers,4,3,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-13,47,1,0
12,Shot Chart Detail,0021400585,158,200811,Lou Amundson,1610612752,New York Knicks,2,10,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,17,1,0
13,Shot Chart Detail,0021400585,167,200811,Lou Amundson,1610612752,New York Knicks,2,10,15,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,54,4,1,1
14,Shot Chart Detail,0021400585,431,200811,Lou Amundson,1610612752,New York Knicks,4,10,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
15,Shot Chart Detail,0021400585,434,200811,Lou Amundson,1610612752,New York Knicks,4,10,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-6,1,1
16,Shot Chart Detail,0021400618,32,200811,Lou Amundson,1610612752,New York Knicks,1,7,42,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,7,78,1,0
17,Shot Chart Detail,0021400618,171,200811,Lou Amundson,1610612752,New York Knicks,2,6,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
18,Shot Chart Detail,0021400618,189,200811,Lou Amundson,1610612752,New York Knicks,2,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-49,149,1,0
19,Shot Chart Detail,0021400618,210,200811,Lou Amundson,1610612752,New York Knicks,2,1,44,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,37,1,1
20,Shot Chart Detail,0021400618,226,200811,Lou Amundson,1610612752,New York Knicks,3,11,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-48,159,1,0
21,Shot Chart Detail,0021400627,6,200811,Lou Amundson,1610612752,New York Knicks,1,11,36,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,0
22,Shot Chart Detail,0021400627,49,200811,Lou Amundson,1610612752,New York Knicks,1,6,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,6,82,1,1
23,Shot Chart Detail,0021400627,343,200811,Lou Amundson,1610612752,New York Knicks,3,6,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-193,-3,1,0
24,Shot Chart Detail,0021400627,498,200811,Lou Amundson,1610612752,New York Knicks,4,3,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1
25,Shot Chart Detail,0021400645,16,200811,Lou Amundson,1610612752,New York Knicks,1,10,1,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,0
26,Shot Chart Detail,0021400645,19,200811,Lou Amundson,1610612752,New York Knicks,1,9,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6,1,0
27,Shot Chart Detail,0021400645,44,200811,Lou Amundson,1610612752,New York Knicks,1,7,13,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,15,1,0
28,Shot Chart Detail,0021400645,79,200811,Lou Amundson,1610612752,New York Knicks,1,3,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-76,119,1,0
29,Shot Chart Detail,0021400645,279,200811,Lou Amundson,1610612752,New York Knicks,3,10,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,26,1,0
30,Shot Chart Detail,0021400645,436,200811,Lou Amundson,1610612752,New York Knicks,4,8,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
31,Shot Chart Detail,0021400652,34,200811,Lou Amundson,1610612752,New York Knicks,1,7,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,39,175,1,1
32,Shot Chart Detail,0021400652,323,200811,Lou Amundson,1610612752,New York Knicks,3,6,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,75,1,0
33,Shot Chart Detail,0021400652,349,200811,Lou Amundson,1610612752,New York Knicks,3,4,29,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,0
34,Shot Chart Detail,0021400652,490,200811,Lou Amundson,1610612752,New York Knicks,4,5,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,51,160,1,1
35,Shot Chart Detail,0021400652,494,200811,Lou Amundson,1610612752,New York Knicks,4,4,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,23,1,0
36,Shot Chart Detail,0021400669,3,200811,Lou Amundson,1610612752,New York Knicks,1,11,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-125,66,1,0
37,Shot Chart Detail,0021400669,31,200811,Lou Amundson,1610612752,New York Knicks,1,9,12,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1
38,Shot Chart Detail,0021400669,36,200811,Lou Amundson,1610612752,New York Knicks,1,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1
39,Shot Chart Detail,0021400669,231,200811,Lou Amundson,1610612752,New York Knicks,2,4,33,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,23,1,0
40,Shot Chart Detail,0021400688,15,200811,Lou Amundson,1610612752,New York Knicks,1,9,47,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,62,52,1,0
41,Shot Chart Detail,0021400688,36,200811,Lou Amundson,1610612752,New York Knicks,1,8,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-27,77,1,0
42,Shot Chart Detail,0021400688,66,200811,Lou Amundson,1610612752,New York Knicks,1,5,0,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
43,Shot Chart Detail,0021400688,188,200811,Lou Amundson,1610612752,New York Knicks,2,6,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1
44,Shot Chart Detail,0021400688,252,200811,Lou Amundson,1610612752,New York Knicks,3,11,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,1,1,0
45,Shot Chart Detail,0021400688,254,200811,Lou Amundson,1610612752,New York Knicks,3,11,34,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,20,1,0
46,Shot Chart Detail,0021400688,271,200811,Lou Amundson,1610612752,New York Knicks,3,9,8,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,53,1,0
47,Shot Chart Detail,0021400688,282,200811,Lou Amundson,1610612752,New York Knicks,3,8,13,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,18,50,1,0
48,Shot Chart Detail,0021400694,6,200811,Lou Amundson,1610612752,New York Knicks,1,10,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,1
49,Shot Chart Detail,0021400694,9,200811,Lou Amundson,1610612752,New York Knicks,1,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,119,156,1,1
50,Shot Chart Detail,0021400694,30,200811,Lou Amundson,1610612752,New York Knicks,1,7,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,50,1,0
51,Shot Chart Detail,0021400694,33,200811,Lou Amundson,1610612752,New York Knicks,1,6,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-2,1,1
52,Shot Chart Detail,0021400694,211,200811,Lou Amundson,1610612752,New York Knicks,2,3,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,18,48,1,1
53,Shot Chart Detail,0021400694,226,200811,Lou Amundson,1610612752,New York Knicks,2,1,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1
54,Shot Chart Detail,0021400694,232,200811,Lou Amundson,1610612752,New York Knicks,2,1,19,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,91,28,1,1
55,Shot Chart Detail,0021400694,237,200811,Lou Amundson,1610612752,New York Knicks,2,0,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,48,94,1,1
56,Shot Chart Detail,0021400694,252,200811,Lou Amundson,1610612752,New York Knicks,3,11,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,0
57,Shot Chart Detail,0021400694,258,200811,Lou Amundson,1610612752,New York Knicks,3,10,55,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
58,Shot Chart Detail,0021400717,88,200811,Lou Amundson,1610612752,New York Knicks,1,2,17,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,17,1,0
59,Shot Chart Detail,0021400717,90,200811,Lou Amundson,1610612752,New York Knicks,1,2,14,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,22,1,0
